sequence_index,database_id,identity_name,record_type,structure_marker,record_offset,name_offset,name_length,confidence_score
8525,316669,"Gilberto",14,189,0x00612410,0x00612414,8,100
8526,306294,"Kléber",14,189,0x00612435,0x00612439,6,100
8527,312254,"Gil",14,189,0x00612456,0x0061245A,3,100
8529,312162,"Bira",14,189,0x00612494,0x00612498,4,100
8530,3300989,"Souza",14,189,0x006124B1,0x006124B5,5,100
8531,306465,"Roger",14,189,0x006124D0,0x006124D4,5,100
8534,305807,"Flavinho",13,189,0x0061252B,0x0061252F,8,100
8535,307231,"Claudinho",13,189,0x00612550,0x00612554,9,100
8536,3301135,"Augusto",13,189,0x00612577,0x0061257B,7,100
8537,302978,"Murilo",13,189,0x0061259A,0x0061259E,6,100
8540,307030,"Marinho",13,189,0x006125FF,0x00612603,7,100
8542,735670,"Wesley",12,189,0x00612645,0x00612649,6,100
8544,5512274,"Careca",12,189,0x00612685,0x00612689,6,100
8545,4100573,"Ademir",12,189,0x006126A6,0x006126AA,6,100
8547,304270,"Everaldo",12,189,0x006126E8,0x006126EC,8,100
8548,301628,"André Luís",12,189,0x0061270D,0x00612711,10,100
8550,306285,"Jairo",12,189,0x0061275B,0x0061275F,5,100
8551,302405,"Paulo Sérgio",12,189,0x0061277A,0x0061277E,12,100
8552,306611,"Zezinho",11,189,0x006127A7,0x006127AB,7,100
8553,316460,"Carioca",11,189,0x006127CA,0x006127CE,7,100
8556,317771,"Batista",11,189,0x00612831,0x00612835,7,100
8557,317784,"Clodoaldo",11,189,0x00612854,0x00612858,9,100
8559,2001545,"Mazinho",11,189,0x0061289C,0x006128A0,7,100
8560,8827620,"Ney",11,189,0x006128BF,0x006128C3,3,100
8561,8835147,"Guto",11,189,0x006128DA,0x006128DE,4,100
8562,317145,"Samuel",11,189,0x006128F7,0x006128FB,6,100
8563,5604144,"Maicon",11,189,0x00612918,0x0061291C,6,100
8564,310832,"Amaral",11,189,0x00612939,0x0061293D,6,100
8565,318361,"Cícero",11,189,0x0061295A,0x0061295E,6,100
8566,3301012,"Marlon",11,189,0x0061297B,0x0061297F,6,100
8567,307105,"Betinho",11,189,0x0061299C,0x006129A0,7,100
8568,321041,"Carlos Henrique",11,189,0x006129BF,0x006129C3,15,100
8570,316841,"Robinho",10,189,0x00612A11,0x00612A15,7,100
8572,320486,"Silva",10,189,0x00612A5B,0x00612A5F,5,100
8573,306913,"Santos",10,189,0x00612A7A,0x00612A7E,6,100
8574,3900234,"Toni",10,189,0x00612A9B,0x00612A9F,4,100
8576,306560,"Rômulo",10,189,0x00612AD9,0x00612ADD,6,100
8577,316924,"Paulo",10,189,0x00612AFA,0x00612AFE,5,100
8578,319646,"Wendel",10,189,0x00612B19,0x00612B1D,6,100
8579,8827079,"Carlos Eduardo",10,189,0x00612B3A,0x00612B3E,14,100
8580,305481,"Lima",10,189,0x00612B6B,0x00612B6F,4,100
8582,3301528,"Dida",10,189,0x00612BAB,0x00612BAF,4,100
8583,301996,"Antônio Carlos",10,189,0x00612BC8,0x00612BCC,14,100
8584,315617,"Hugo",10,189,0x00612BF9,0x00612BFD,4,100
8585,306595,"Zé Roberto",10,189,0x00612C16,0x00612C1A,10,100
8586,312153,"Fred",10,189,0x00612C3F,0x00612C43,4,100
8588,305318,"Allan",10,189,0x00612C7F,0x00612C83,5,100
8590,315508,"Raphael",10,189,0x00612CBF,0x00612CC3,7,100
8591,304937,"Ferreira",10,189,0x00612CE2,0x00612CE6,8,100
8592,311474,"Agnaldo",10,189,0x00612D07,0x00612D0B,7,100
8593,312258,"Andrade",10,189,0x00612D2A,0x00612D2E,7,100
8594,7700154,"Édson",10,189,0x00612D4D,0x00612D51,5,100
8595,305326,"Ceará",9,189,0x00612D6C,0x00612D70,5,100
8596,317417,"Aldo",9,189,0x00612D8B,0x00612D8F,4,100
8598,317533,"Altair",9,189,0x00612DC7,0x00612DCB,6,100
8599,317937,"Nílson",9,189,0x00612DE8,0x00612DEC,6,100
8602,315315,"Victor",9,189,0x00612E4D,0x00612E51,6,100
8605,311056,"Gláuber",9,189,0x00612EB0,0x00612EB4,7,100
8606,303771,"Luís Carlos",9,189,0x00612ED3,0x00612ED7,11,100
8607,316962,"Mário",9,189,0x00612EFE,0x00612F02,5,100
8608,320911,"Jádson",9,189,0x00612F1D,0x00612F21,6,100
8612,306577,"Almir",9,189,0x00612FA5,0x00612FA9,5,100
8613,3300478,"Isaías",9,189,0x00612FC4,0x00612FC8,6,100
8615,304015,"Giba",9,189,0x00613008,0x0061300C,4,100
8617,308562,"Dinei",9,189,0x0061304A,0x0061304E,5,100
8618,3301549,"Nei",9,189,0x00613069,0x0061306D,3,100
8619,306430,"Romildo",9,189,0x00613084,0x00613088,7,100
8621,316999,"Elias",9,189,0x006130CA,0x006130CE,5,100
8623,310843,"Julinho",9,189,0x0061310C,0x00613110,7,100
8625,317624,"Éverton",9,189,0x0061314C,0x00613150,7,100
8626,312077,"Lico",9,189,0x0061316F,0x00613173,4,100
8627,304323,"Jorge Luiz",9,189,0x0061318C,0x00613190,10,100
8628,8168159,"Jorge Luís",9,189,0x006131B5,0x006131B9,10,100
8631,8827055,"Pará",8,189,0x0061321C,0x00613220,4,100
8635,6900070,"Bebeto",8,189,0x006132AA,0x006132AE,6,100
8637,304835,"Luizão",8,189,0x006132E8,0x006132EC,6,100
8638,775247,"Célio",8,189,0x00613309,0x0061330D,5,100
8639,317642,"Jardel",8,189,0x00613328,0x0061332C,6,100
8641,311481,"Edvaldo",8,189,0x0061336A,0x0061336E,7,100
8645,8830547,"Cris",8,189,0x006133FA,0x006133FE,4,100
8646,316879,"Carlos André",8,189,0x00613417,0x0061341B,12,100
8647,306901,"Val",8,189,0x00613444,0x00613448,3,100
8653,316063,"Ronald",8,189,0x006134FE,0x00613502,6,100
8654,3301448,"China",8,189,0x0061351F,0x00613523,5,100
8655,320861,"Marcel",8,189,0x0061353E,0x00613542,6,100
8657,310984,"Amarildo",8,189,0x00613586,0x0061358A,8,100
8659,3300799,"Chicão",8,189,0x006135CC,0x006135D0,6,100
8660,3301318,"Dinho",8,189,0x006135ED,0x006135F1,5,100
8661,316187,"Caio",7,189,0x0061360C,0x00613610,4,100
8664,7002315,"Pedro Paulo",7,189,0x00613669,0x0061366D,11,100
8665,4201352,"André Luiz",7,189,0x00613694,0x00613698,10,100
8666,305320,"Saulo",7,189,0x006136BD,0x006136C1,5,100
8667,305999,"Nivaldo",7,189,0x006136DC,0x006136E0,7,100
8668,317696,"David",7,189,0x006136FF,0x00613703,5,100
8669,8832796,"Robert",7,189,0x0061371E,0x00613722,6,100
8670,3301464,"Max",7,189,0x0061373F,0x00613743,3,100
8671,318126,"Tita",7,189,0x0061375A,0x0061375E,4,100
8674,315895,"Peu",7,189,0x006137C9,0x006137CD,3,100
8676,319309,"Jeferson",7,189,0x00613813,0x00613817,8,100
8677,3300053,"Patrick",7,189,0x00613838,0x0061383C,7,100
8679,305200,"Erivélton",7,189,0x0061387A,0x0061387E,9,100
8680,308301,"Laércio",7,189,0x006138A1,0x006138A5,7,100
8681,743472,"Vandinho",7,189,0x006138C4,0x006138C8,8,100
8683,303053,"Magrão",7,189,0x00613906,0x0061390A,6,100
8684,317469,"Assis",7,189,0x00613927,0x0061392B,5,100
8685,309254,"Wanderson",7,189,0x00613946,0x0061394A,9,100
