reference_kind,boundary_kind,relative_offset,occurrence_count,distinct_players,flamengo_players,corinthians_players,assessment,player_names
INTERNAL_PERSON_ID,KNOWN_REFERENCE_BEFORE,-29,38,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,47,37,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_BEFORE,-47,37,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,41,33,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_BEFORE,-41,33,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,45,32,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_BEFORE,-45,32,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,43,29,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_BEFORE,-43,29,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,49,29,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_BEFORE,-49,29,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-8,20,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,51,13,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_BEFORE,-51,13,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,43,9,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,53,9,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_BEFORE,-53,9,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,58,7,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-11,5,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-27,5,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,27,5,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_BEFORE,-27,5,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-43,5,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,45,5,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,20,4,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-28,4,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,37,4,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,70,4,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_BEFORE,-70,4,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-33,3,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,55,3,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,55,3,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_BEFORE,-55,3,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-61,3,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_AFTER,110,3,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,KNOWN_REFERENCE_BEFORE,-110,3,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-137,3,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_AFTER,16,2,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
INTERNAL_PERSON_ID,ZERO_RUN_BEFORE,-26,2,1,0,1,ISOLATED_BOUNDARY,"Édson Araújo"
