club_database_id,save1_full_name,save2_full_name,save1_short_name,save2_short_name,save1_index,save2_index,index_delta,save1_offset,save2_offset,present_save1,present_save2,database_id_stable,save_index_stable,full_name_equivalent,short_name_equivalent,status
266,"KSK Beveren","KSK Beveren","Beveren","Beveren",37,45,8,0x0009025A,0x0009246F,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
289,"KVC Westerlo","KVC Westerlo","Westerlo","Westerlo",38,47,9,0x00090342,0x000926A4,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
303,"Dinamo Minsk","Dinamo Minsk","Din.Minsk","Din.Minsk",39,48,9,0x00090446,0x000927C8,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
304,"Dinamo-93 Minsk","Dinamo-93 Minsk","Din.93 Minsk","Din.93 Minsk",40,49,9,0x000904F6,0x00092878,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
309,"C Bolívar","C Bolívar","Bolívar","Bolívar",41,52,11,0x000905AE,0x00092AE2,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
311,"FC The Strongest","FC The Strongest","The Strongest","The Strongest",42,53,11,0x00090680,0x00092BAC,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
312,"CCD Tuluá","CCD Tuluá","Cortuluá","Cortuluá",43,54,11,0x00090739,0x00092C60,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
314,"C Atlético Mineiro","C Atlético Mineiro","Atlético Mineiro","Atlético Mineiro",44,55,11,0x00090A27,0x00092D46,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
315,"EC Bahia","EC Bahia","Bahia","Bahia",45,56,11,0x00090CF3,0x00092DFA,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
316,"Botafogo FR","Botafogo FR","Botafogo","Botafogo",46,57,11,0x00090FDF,0x00092EC8,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
319,"SC Corinthians Paulista","SC Corinthians Paulista","Corinthians","Corinthians",48,58,10,0x000913D6,0x00092FFC,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
321,"Cruzeiro EC","Cruzeiro EC","Cruzeiro","Cruzeiro",50,59,9,0x000919AA,0x00093102,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
322,"CR Flamengo","CR Flamengo","Flamengo","Flamengo",51,60,9,0x00091CB1,0x000931E0,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
323,"Fluminense FC","Fluminense FC","Fluminense","Fluminense",52,61,9,0x00091FB8,0x000932D7,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
324,"Grêmio FBPA","Grêmio FBPA","Grêmio","Grêmio",53,62,9,0x000922D1,0x000933B1,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
325,"Guarani FC","Guarani FC","Guarani","Guarani",54,63,9,0x000925B5,0x0009348D,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
326,"SC Internacional","SC Internacional","Internacional","Internacional",55,64,9,0x000928DE,0x000935B3,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
327,"EC Juventude","EC Juventude","Juventude","Juventude",56,65,9,0x00092BD2,0x00093675,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
328,"C Náutico Capibaribe","C Náutico Capibaribe","Náutico","Náutico",57,66,9,0x00092E9B,0x00093733,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
329,"SE Palmeiras","SE Palmeiras","Palmeiras","Palmeiras",58,67,9,0x000931A0,0x0009382F,True,True,True,False,True,True,ID_ESTAVEL_INDICE_ALTERADO
