club_record_index,club_id,header_offset,field1,field2,field3,full_name,short_name,name_offset,name_distance,score,confidence
69,340,0x00094EDD,134,255,255,"EC Vitória","Vitória",609905,62,135,HIGH
70,344,0x0009501E,134,255,255,"CSKA (Sofia)","CSKA (Sofia)",610140,134,105,HIGH
71,349,0x00095146,134,255,255,"Levski (Sofia)","Levski (Sofia)",610461,101,105,HIGH
72,351,0x0009523F,134,255,255,"Lokomotiv (Plovdiv)","Loko (Plovdiv)",610731,70,105,HIGH
73,352,0x0009533A,134,255,255,"Lokomotiv (Sofia)","Loko (Sofia)",610975,85,105,HIGH
74,356,0x0009542C,6,255,255,"Slavia (Sofia)","Slavia (Sofia)",611226,78,105,HIGH
75,393,0x000954D8,6,255,255,"Canon Yaoundé","Canon",611458,38,105,HIGH
76,398,0x00095597,190,255,255,"Tonnerre Kalara Club","Tonnerre KC",611630,31,105,HIGH
77,399,0x0009565B,190,255,255,"CSD Colo Colo","Colo Colo",611821,54,105,HIGH
78,400,0x0009571F,190,255,255,"O'Higgins de Rancagua","O'Higgins",612017,38,105,HIGH
79,403,0x00095811,190,255,255,"CD Universidad Católica","Universidad Católica",612213,58,105,HIGH
80,404,0x000958FF,55,255,255,"CF Universidad de Chile","Universidad de Chile",612455,54,105,HIGH
81,406,0x000959DE,55,255,255,"Beijing Guo'an","Beijing",612698,78,105,HIGH
82,407,0x00095AB7,55,255,255,"Dalian Shide","Dalian",612921,78,105,HIGH
83,409,0x00095B87,55,255,255,"Guangzhou Rizhiquan","Guangzhou",613138,49,105,HIGH
84,414,0x00095C6A,191,255,255,"Shanghai Shenhua","Shenhua",613346,78,105,HIGH
85,417,0x00095D4B,191,255,255,"CD América de Cali","América de Cali",613583,46,105,HIGH
86,419,0x00095E02,191,255,255,"CPD Junior","Junior",613808,38,105,HIGH
87,420,0x00095EDA,191,255,255,"CD Once Caldas","Once Caldas",614006,38,105,HIGH
88,421,0x00095FBB,191,255,255,"AC Deportivo Cali","Deportivo Cali",614207,50,105,HIGH
89,423,0x00096096,191,255,255,"Independiente Santa Fé","Santa Fé",614432,46,105,HIGH
90,425,0x00096171,191,255,255,"CDI Medellín","Medellín",614671,46,105,HIGH
91,426,0x0009624A,191,255,255,"CD Los Millonarios","Millonarios",614870,46,105,HIGH
92,427,0x00096344,191,255,255,"CDC Atlético Nacional","Atlético Nacional",615102,46,105,HIGH
93,429,0x000963EC,135,255,255,"CCD Tolima","Tolima",615322,38,105,HIGH
94,432,0x000964EC,135,255,255,"Croácia Zagreb","Croácia Zagreb",615531,61,105,HIGH
95,433,0x000965D5,135,255,255,"HNK Hajduk","Hajduk",615787,62,105,HIGH
96,441,0x000966BD,136,255,255,"HNK Rijeka","Rijeka",616020,61,105,HIGH
97,448,0x0009676D,136,255,255,"AEK Larnaca","",616235,38,105,HIGH
98,450,0x0009685E,136,255,255,"Anorthosis Famagusta","Anorthosi",616418,54,105,HIGH
99,451,0x00096938,136,255,255,"APOEL Nicosia","APOEL",616659,53,105,HIGH
100,456,0x000969EF,136,255,255,"Ethnikos Achnas","Achna",616846,45,105,HIGH
101,460,0x00096AD9,137,255,255,"Omonoia Nicosia","Omonoia",617060,61,105,HIGH
102,467,0x00096B7F,137,255,255,"Zlin","Zlin",617273,42,105,HIGH
