display_name,database_id,internal_person_id,reference_kind,reference_offset,club_reference_kind,data_type,club_value,club_offset,relative_offset,is_identity_record_occurrence
"Dimba",303048,50294,DATABASE_ID,0x0079B8A7,CLUB_DATABASE_ID,UINT16,322,0x0079B7A8,-255,False
"Dimba",303048,50294,DATABASE_ID,0x0079B8A7,CLUB_DATABASE_ID,UINT32,322,0x0079B7A8,-255,False
"Dimba",303048,50294,DATABASE_ID,0x0079B8A7,CLUB_SAVE_INDEX,UINT16,51,0x0079B856,-81,False
"Dimba",303048,50294,DATABASE_ID,0x0079B8A7,CLUB_SAVE_INDEX,UINT32,51,0x0079B856,-81,False
"Dimba",303048,50294,INTERNAL_PERSON_ID,0x0079B7ED,CLUB_SAVE_INDEX,UINT16,51,0x0079B780,-109,False
"Dimba",303048,50294,INTERNAL_PERSON_ID,0x0079B7ED,CLUB_SAVE_INDEX,UINT32,51,0x0079B780,-109,False
"Dimba",303048,50294,INTERNAL_PERSON_ID,0x0079B7ED,CLUB_DATABASE_ID,UINT16,322,0x0079B7A8,-69,False
"Dimba",303048,50294,INTERNAL_PERSON_ID,0x0079B7ED,CLUB_DATABASE_ID,UINT32,322,0x0079B7A8,-69,False
"Dimba",303048,50294,INTERNAL_PERSON_ID,0x0079B7ED,CLUB_SAVE_INDEX,UINT16,51,0x0079B856,105,False
"Dimba",303048,50294,INTERNAL_PERSON_ID,0x0079B7ED,CLUB_SAVE_INDEX,UINT32,51,0x0079B856,105,False
"Douglas Silva",3300410,10349,DATABASE_ID,0x008CFFC2,CLUB_SAVE_INDEX,UINT16,51,0x008CFF71,-81,False
"Douglas Silva",3300410,10349,DATABASE_ID,0x008CFFC2,CLUB_SAVE_INDEX,UINT32,51,0x008CFF71,-81,False
"Douglas Silva",3300410,10349,DATABASE_ID,0x008CFFC2,CLUB_SAVE_INDEX,UINT16,51,0x008CFFB1,-17,False
"Douglas Silva",3300410,10349,DATABASE_ID,0x008CFFC2,CLUB_SAVE_INDEX,UINT32,51,0x008CFFB1,-17,False
"Douglas Silva",3300410,10349,INTERNAL_PERSON_ID,0x008CFEDD,CLUB_SAVE_INDEX,UINT16,51,0x008CFF71,148,False
