relative_offset,data_type,player_count,distinct_value_count,expected_id_match_count,expected_id_match_rate,assessment,values
-16,UINT16,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
-16,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
16,UINT32,9,9,0,0.000000,CAMPO_VARIAVEL,"2097263 | 6357107 | 6881363 | 6881377 | 6881384 | 7077957 | 7274600 | 7602286 | 700317696"
16,UINT16,9,8,0,0.000000,SEM_PADRAO,"0 | 69 | 83 | 97 | 104 | 110 | 111 | 115"
16,BYTE,9,8,0,0.000000,SEM_PADRAO,"0 | 69 | 83 | 97 | 104 | 110 | 111 | 115"
-17,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"189"
17,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
-18,UINT16,9,1,0,0.000000,CAMPO_CONSTANTE,"48384"
-18,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
18,UINT16,9,7,0,0.000000,SEM_PADRAO,"32 | 97 | 105 | 108 | 111 | 116 | 10686"
18,BYTE,9,7,0,0.000000,SEM_PADRAO,"32 | 97 | 105 | 108 | 111 | 116 | 190"
-19,BYTE,9,3,0,0.000000,CAMPO_CONSTANTE,"1 | 2 | 6"
19,BYTE,9,2,0,0.000000,CAMPO_CONSTANTE,"0 | 41"
-20,UINT32,9,3,0,0.000000,CAMPO_CONSTANTE,"3170894080 | 3170894336 | 3170895360"
-20,UINT16,9,3,0,0.000000,CAMPO_CONSTANTE,"256 | 512 | 1536"
-20,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
20,UINT32,9,9,0,0.000000,CAMPO_VARIAVEL,"97 | 393216 | 2097266 | 6619244 | 7209057 | 7471169 | 7536751 | 7733356 | 2680684544"
20,UINT16,9,6,0,0.000000,SEM_PADRAO,"0 | 65 | 97 | 108 | 111 | 114"
20,BYTE,9,6,0,0.000000,SEM_PADRAO,"0 | 65 | 97 | 108 | 111 | 114"
-21,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
21,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
-22,UINT16,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
-22,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
22,UINT16,9,9,0,0.000000,CAMPO_VARIAVEL,"0 | 6 | 32 | 101 | 110 | 114 | 115 | 118 | 40904"
22,BYTE,9,9,0,0.000000,CAMPO_VARIAVEL,"0 | 6 | 32 | 101 | 110 | 114 | 115 | 118 | 200"
-23,BYTE,9,6,0,0.000000,SEM_PADRAO,"97 | 105 | 108 | 111 | 115 | 211"
23,BYTE,9,2,0,0.000000,CAMPO_CONSTANTE,"0 | 159"
-24,UINT32,9,6,0,0.000000,SEM_PADRAO,"24832 | 26880 | 27648 | 28416 | 29440 | 54016"
-24,UINT16,9,6,0,0.000000,SEM_PADRAO,"24832 | 26880 | 27648 | 28416 | 29440 | 54016"
-24,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
24,UINT32,9,9,0,0.000000,CAMPO_VARIAVEL,"97 | 111 | 114 | 189 | 65536 | 7274573 | 12386306 | 16384097 | 218103812"
24,UINT16,9,8,0,0.000000,SEM_PADRAO,"0 | 2 | 4 | 77 | 97 | 111 | 114 | 189"
24,BYTE,9,8,0,0.000000,SEM_PADRAO,"0 | 2 | 4 | 77 | 97 | 111 | 114 | 189"
-25,BYTE,9,7,0,0.000000,SEM_PADRAO,"32 | 100 | 101 | 104 | 108 | 114 | 116"
25,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
-26,UINT16,9,7,0,0.000000,SEM_PADRAO,"8192 | 25600 | 25856 | 26624 | 27648 | 29184 | 29696"
-26,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
26,UINT16,9,6,0,0.000000,SEM_PADRAO,"0 | 1 | 111 | 189 | 250 | 3328"
26,BYTE,9,5,0,0.000000,SEM_PADRAO,"0 | 1 | 111 | 189 | 250"
-27,BYTE,9,6,0,0.000000,SEM_PADRAO,"97 | 101 | 110 | 111 | 112 | 114"
27,BYTE,9,2,0,0.000000,CAMPO_CONSTANTE,"0 | 13"
-28,UINT32,9,9,0,0.000000,CAMPO_VARIAVEL,"536899328 | 1677749760 | 1694523648 | 1694527488 | 1744858624 | 1811965184 | 1912627456 | 1912631040 | 1946186240"
-28,UINT16,9,6,0,0.000000,SEM_PADRAO,"24832 | 25856 | 28160 | 28416 | 28672 | 29184"
-28,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
28,UINT32,9,7,0,0.000000,SEM_PADRAO,"189 | 8719 | 6357106 | 7274602 | 12386305 | 621215744 | 1291845632"
28,UINT16,9,6,0,0.000000,SEM_PADRAO,"0 | 1 | 106 | 114 | 189 | 8719"
28,BYTE,9,6,0,0.000000,SEM_PADRAO,"0 | 1 | 15 | 106 | 114 | 189"
-29,BYTE,9,7,0,0.000000,SEM_PADRAO,"77 | 97 | 98 | 100 | 101 | 105 | 111"
29,BYTE,9,2,0,0.000000,CAMPO_CONSTANTE,"0 | 34"
-30,UINT16,9,7,0,0.000000,SEM_PADRAO,"19712 | 24832 | 25088 | 25600 | 25856 | 26880 | 28416"
-30,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
30,UINT16,9,6,0,0.000000,SEM_PADRAO,"0 | 97 | 111 | 189 | 9479 | 19712"
30,BYTE,9,5,0,0.000000,SEM_PADRAO,"0 | 7 | 97 | 111 | 189"
-31,BYTE,9,8,0,0.000000,SEM_PADRAO,"0 | 32 | 76 | 98 | 100 | 105 | 109 | 114"
31,BYTE,9,3,0,0.000000,CAMPO_CONSTANTE,"0 | 37 | 77"
-32,UINT32,9,9,0,0.000000,CAMPO_VARIAVEL,"1291845632 | 1291853824 | 1627419136 | 1644195072 | 1677729792 | 1677748480 | 1694523904 | 1761633280 | 1862290432"
-32,UINT16,9,8,0,0.000000,SEM_PADRAO,"0 | 8192 | 19456 | 25088 | 25600 | 26880 | 27904 | 29184"
-32,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
32,UINT32,9,9,0,0.000000,CAMPO_VARIAVEL,"11210 | 65536 | 7536741 | 8833732 | 631111680 | 676397056 | 678232064 | 1912627456 | 3212902400"
32,UINT16,9,5,0,0.000000,SEM_PADRAO,"0 | 101 | 11210 | 24832 | 51908"
32,BYTE,9,4,0,0.000000,SEM_PADRAO,"0 | 101 | 196 | 202"
-33,BYTE,9,8,0,0.000000,SEM_PADRAO,"4 | 32 | 97 | 101 | 105 | 110 | 111 | 115"
33,BYTE,9,4,0,0.000000,SEM_PADRAO,"0 | 43 | 97 | 202"
-34,UINT16,9,8,0,0.000000,SEM_PADRAO,"1024 | 8192 | 24832 | 25856 | 26880 | 28160 | 28416 | 29440"
-34,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
34,UINT16,9,9,0,0.000000,CAMPO_VARIAVEL,"0 | 1 | 115 | 134 | 9630 | 10321 | 10349 | 29184 | 49025"
34,BYTE,9,8,0,0.000000,SEM_PADRAO,"0 | 1 | 81 | 109 | 115 | 129 | 134 | 158"
-35,BYTE,9,8,0,0.000000,SEM_PADRAO,"0 | 73 | 76 | 77 | 82 | 111 | 112 | 114"
35,BYTE,9,5,0,0.000000,SEM_PADRAO,"0 | 37 | 40 | 114 | 191"
-36,UINT32,9,9,0,0.000000,CAMPO_VARIAVEL,"67108998 | 536899328 | 1627409408 | 1694527488 | 1694528000 | 1761627392 | 1845522176 | 1862291968 | 1929398528"
-36,UINT16,9,8,0,0.000000,SEM_PADRAO,"134 | 18688 | 19456 | 19712 | 20992 | 28416 | 28672 | 29184"
-36,BYTE,9,2,0,0.000000,CAMPO_CONSTANTE,"0 | 134"
36,UINT16,9,6,0,0.000000,SEM_PADRAO,"0 | 4 | 189 | 1536 | 25344 | 50991"
36,BYTE,9,4,0,0.000000,SEM_PADRAO,"0 | 4 | 47 | 189"
-37,BYTE,9,6,0,0.000000,SEM_PADRAO,"0 | 32 | 102 | 105 | 116 | 188"
37,BYTE,9,4,0,0.000000,SEM_PADRAO,"0 | 6 | 99 | 199"
-38,UINT16,9,6,0,0.000000,SEM_PADRAO,"0 | 8192 | 26112 | 26880 | 29696 | 48272"
-38,BYTE,9,2,0,0.000000,CAMPO_CONSTANTE,"0 | 144"
38,UINT16,9,8,0,0.000000,SEM_PADRAO,"0 | 1 | 134 | 2816 | 18831 | 23419 | 23610 | 28416"
38,BYTE,9,6,0,0.000000,SEM_PADRAO,"0 | 1 | 58 | 123 | 134 | 143"
-39,BYTE,9,6,0,0.000000,SEM_PADRAO,"0 | 7 | 108 | 110 | 111 | 115"
39,BYTE,9,6,0,0.000000,SEM_PADRAO,"0 | 11 | 73 | 91 | 92 | 111"
-40,UINT32,9,8,0,0.000000,SEM_PADRAO,"1792 | 536899328 | 536900352 | 1711303680 | 1761635328 | 1761635840 | 1946184704 | 3163553792"
-40,UINT16,9,6,0,0.000000,SEM_PADRAO,"0 | 1792 | 27648 | 28160 | 28416 | 29440"
-40,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
40,UINT32,9,9,0,0.000000,CAMPO_VARIAVEL,"189 | 2304 | 10403 | 67108914 | 67108969 | 201326642 | 536900352 | 1241513984 | 3909109760"
40,UINT16,9,8,0,0.000000,SEM_PADRAO,"0 | 50 | 105 | 189 | 2304 | 10403 | 18432 | 29440"
40,BYTE,9,5,0,0.000000,SEM_PADRAO,"0 | 50 | 105 | 163 | 189"
-41,BYTE,9,9,0,0.000000,CAMPO_VARIAVEL,"0 | 37 | 65 | 100 | 101 | 105 | 108 | 111 | 244"
41,BYTE,9,5,0,0.000000,SEM_PADRAO,"0 | 9 | 40 | 72 | 115"
-42,UINT16,9,9,0,0.000000,CAMPO_VARIAVEL,"4 | 9477 | 16640 | 25600 | 25856 | 26880 | 27648 | 28416 | 62464"
-42,BYTE,9,3,0,0.000000,CAMPO_CONSTANTE,"0 | 4 | 5"
42,UINT16,9,6,0,0.000000,SEM_PADRAO,"0 | 1024 | 3072 | 8192 | 18944 | 59648"
42,BYTE,9,1,0,0.000000,CAMPO_CONSTANTE,"0"
-43,BYTE,9,8,0,0.000000,SEM_PADRAO,"0 | 70 | 77 | 108 | 114 | 116 | 117 | 213"
43,BYTE,9,6,0,0.000000,SEM_PADRAO,"0 | 4 | 12 | 32 | 74 | 233"
-44,UINT32,9,9,0,0.000000,CAMPO_VARIAVEL,"316729 | 621084672 | 1090519040 | 1677750784 | 1694516736 | 1761627392 | 1811969280 | 1862298624 | 4093670400"
-44,UINT16,9,8,0,0.000000,SEM_PADRAO,"0 | 17920 | 19712 | 27648 | 29184 | 29696 | 29952 | 54585"
-44,BYTE,9,2,0,0.000000,CAMPO_CONSTANTE,"0 | 57"
44,UINT16,9,7,0,0.000000,SEM_PADRAO,"0 | 11026 | 17152 | 18944 | 23980 | 27648 | 28416"
44,BYTE,9,3,0,0.000000,CAMPO_CONSTANTE,"0 | 18 | 172"
-45,BYTE,9,5,0,0.000000,SEM_PADRAO,"0 | 10 | 97 | 110 | 114"
45,BYTE,9,7,0,0.000000,SEM_PADRAO,"0 | 43 | 67 | 74 | 93 | 108 | 111"
-46,UINT16,9,6,0,0.000000,SEM_PADRAO,"0 | 189 | 2560 | 24832 | 28160 | 29184"
-46,BYTE,9,2,0,0.000000,CAMPO_CONSTANTE,"0 | 189"
46,UINT16,9,8,0,0.000000,SEM_PADRAO,"0 | 50 | 18944 | 19968 | 21504 | 24832 | 29696 | 58112"
46,BYTE,9,2,0,0.000000,CAMPO_CONSTANTE,"0 | 50"
-47,BYTE,9,7,0,0.000000,SEM_PADRAO,"0 | 11 | 43 | 65 | 80 | 97 | 99"
47,BYTE,9,7,0,0.000000,SEM_PADRAO,"0 | 74 | 78 | 84 | 97 | 116 | 227"
-48,UINT32,9,8,0,0.000000,SEM_PADRAO,"2816 | 11208 | 12386306 | 167772164 | 1627410432 | 1627415296 | 1845510400 | 1912627456"
-48,UINT16,9,8,0,0.000000,SEM_PADRAO,"2 | 4 | 2816 | 11208 | 16640 | 20480 | 24832 | 25344"
-48,BYTE,9,4,0,0.000000,SEM_PADRAO,"0 | 2 | 4 | 200"
48,UINT16,9,7,0,0.000000,SEM_PADRAO,"1792 | 24832 | 27904 | 28416 | 29696 | 29952 | 43217"
48,BYTE,9,2,0,0.000000,CAMPO_CONSTANTE,"0 | 209"
-49,BYTE,9,4,0,0.000000,SEM_PADRAO,"0 | 67 | 105 | 195"
49,BYTE,9,7,0,0.000000,SEM_PADRAO,"7 | 97 | 109 | 111 | 116 | 117 | 168"
-50,UINT16,9,5,0,0.000000,SEM_PADRAO,"0 | 4 | 17152 | 26880 | 50104"
-50,BYTE,9,3,0,0.000000,CAMPO_CONSTANTE,"0 | 4 | 184"
