player,expected_database_id,name_offset,encoded_bytes,occurrence
"Andrezinho",302728,0x00613DCE,20,1
"André Bahia",311169,0x0061A812,22,1
"Bruno Santos",8832815,0x0062BF4F,24,1
"Dimba",303048,0x006269F5,10,1
"Douglas Silva",3300410,0x006232FC,26,1
"Fabiano Eller",3300219,0x00622E6E,26,1
"Júlio César Moraes",8825041,0x0062A259,36,1
"Júnior Baiano",6900111,0x0061BF5F,26,1
"Reginaldo Araújo",3300780,0x00623BD0,32,1
