club_record_index,club_id,header_offset,field1,field2,field3,full_name,short_name,name_offset,name_distance,score,confidence
1,61,0x0008FA40,126,255,255,"Sportklub Tirana","SK Tirana",588213,77,105,HIGH
2,62,0x0008FAEE,126,255,255,"KS Elbasani","Elbasani",588438,38,105,HIGH
3,63,0x0008FBB0,126,255,255,"KS Flamurtari Vlorë","Flamurtari",588612,38,105,HIGH
4,65,0x0008FC6E,126,255,255,"KS Shkumbini Peqin","Shkumbini",588806,38,105,HIGH
5,69,0x0008FD67,126,255,255,"Partizani Tirana","Partizani",589027,70,105,HIGH
6,71,0x0008FE3E,126,255,255,"KS Teuta Durrës","Teuta",589276,46,105,HIGH
7,72,0x0008FF3B,1,255,255,"KS Vllaznia Shkodër","Vllaznia",589491,70,105,HIGH
8,74,0x00090017,1,255,255,"Atlético Petróleos de Luanda","Petro Atlético",589713,38,105,HIGH
9,75,0x000900FD,1,255,255,"Desportivo Primeiro de Agosto","Primeiro de Agosto",589933,38,105,HIGH
10,76,0x000901DD,187,255,255,"Primeiro de Maio (ANG)","Primeiro de Maio (ANG)",590163,38,105,HIGH
11,78,0x000902B4,187,255,255,"Argentinos Juniors","Argentinos",590402,46,105,HIGH
12,80,0x00090392,187,255,255,"Banfield","Banfield",590617,77,105,HIGH
13,82,0x000904E6,187,255,255,"Boca Juniors","Boca",590853,181,105,HIGH
14,85,0x000905E7,187,255,255,"Estudantes de La Plata","Estudiantes (LP)",591169,78,105,HIGH
15,88,0x000906B7,187,255,255,"Huracán","Huracán",591426,77,105,HIGH
16,89,0x000907DF,187,255,255,"Independiente","Independiente",591674,101,105,HIGH
17,90,0x000908B8,187,255,255,"Lanús","Lanús",591930,94,105,HIGH
18,91,0x000909C2,187,255,255,"Newell's Old Boys","Newell's",592167,93,105,HIGH
19,93,0x00090AC4,187,255,255,"Racing Club","Racing Club",592423,101,105,HIGH
20,94,0x00090C3C,187,255,255,"River Plate","River",592691,221,105,HIGH
